name,player_id,team_id,season_id,player_id,season_id,Pos,Class,height,weight,wingspan,vertical,IS,OS,Rng,Fin,Reb,IDef,PDef,IQ,Pass,Hnd,Drv,Str,Spd,Sta,SI,POT,Stars,Primary_Position,adj_OEPM,adj_DEPM,adj_EPM,adj_OEPM_scaled,adj_DEPM_scaled,adj_EPM_scaled
Alex Goss,198772,167,2045,198772,2045,C pf ,RS SR,85.0,265,89.25,26.0,5,6,11,8,12,16,8,7,6,10,11,7,11,11,129,10,1,C,1.70267515069254,6.5542354858451,8.25691063653764,2.93070397720447,8.68034488542877,11.6110488626332
Raymond Scott,204511,201,2044,204511,2044,C ,JR,82.5,240,86.0,30.5,9,9,14,10,19,17,9,14,8,8,5,8,8,17,155,11,3,C,1.03509314931012,7.40119672267995,8.43628987199006,1.81784478089996,9.79155802815609,11.6094028090561
Voshon Thornton,211688,299,2046,211688,2046,PF sf ,JR,79.0,215,82.0,29.0,17,8,7,10,13,9,6,12,9,7,6,14,10,13,141,12,2,PF,3.62883108182668,4.0122519183125,7.64108300013918,6.14160591440508,5.345262444826,11.4868683592311
Henry Di Marco,198713,95,2045,198713,2045,SG PG SF pf ,RS SR,74.0,195,78.0,29.0,12,16,8,15,12,5,17,7,13,14,15,16,17,11,178,12,3,SG,4.81767463291443,2.50090905851091,7.31858369142534,8.12340811406835,3.36238061276631,11.4857887268347
Rich Pearson,204123,784,2045,204123,2045,SG pg ,SR,74.0,195,79.0,31.0,7,17,13,9,10,8,16,11,14,12,8,15,16,16,172,12,3,SG,3.47069787259549,4.20044921338188,7.67114708597737,5.87799785461668,5.59217729595703,11.4701751505737
Kenny Oliver,209965,324,2044,209965,2044,C ,SO,83.5,220,89.0,39.5,16,4,7,9,13,8,8,12,5,7,5,5,4,10,113,10,1,C,6.01743973471285,0.948177785449274,6.96561752016213,10.1234165387663,1.32519718250945,11.4486137212758
Roger Hartman,198260,781,2044,198260,2044,SF pg pf c ,SR,80.0,210,85.0,35.0,11,15,8,8,8,12,13,19,13,16,13,15,11,5,167,12,4,SF,4.90034669701763,2.34887982663355,7.24922652365118,8.26122244492839,3.16291826054322,11.4241407054716
Deon Logan,209939,958,2045,209939,2045,C sg ,JR,83.0,250,89.0,27.0,14,13,9,11,12,8,6,4,8,6,7,15,12,5,130,10,1,C,3.63730771092625,3.9371784383642,7.57448614929045,6.15573645511406,5.24676603913384,11.4025024942479
D`Marcus Scholl,214451,871,2046,214451,2046,C ,JR,83.0,225,88.0,39.5,14,9,10,8,15,10,5,11,7,11,8,9,6,13,136,11,2,C,5.65368967316614,1.35125915948559,7.00494883265173,9.51704518616795,1.85403994524509,11.371085131413
Benjamin Bone,211776,64,2046,211776,2046,SG SF pg c ,JR,82.0,240,88.0,33.5,18,18,17,14,8,14,15,16,13,14,15,10,18,12,202,15,5,SG,5.46117759648465,1.58601880053284,7.04719639701749,9.19612755433992,2.16204459429908,11.358172148639
Dion Leonard,204435,837,2044,204435,2044,PG SG sf ,JR,75.5,205,79.0,27.5,10,7,12,13,9,8,12,16,15,8,15,6,17,11,159,12,3,PG,3.19527624150343,4.41661275214768,7.61188899365111,5.41886999558622,5.87578385881776,11.294653854404
Dan Egan,204199,564,2046,204199,2046,PF C ,RS SR,83.5,275,88.0,32.0,19,15,8,4,15,10,12,10,13,11,14,16,16,14,177,13,4,PF,6.767083632786,-0.153442511219238,6.61364112156676,11.3730729168543,-0.12012864671964,11.2529442701346
Lincoln Easley,204832,353,2046,204832,2046,PG ,RS SR,74.0,200,78.25,32.0,8,12,10,10,9,4,15,14,19,9,9,12,13,16,160,12,3,PG,4.31951123432953,2.94628402596121,7.26579526029075,7.29296972862733,3.94671257006111,11.2396822986884
Hilario Zamora,209328,920,2046,209328,2046,SG PG sf ,SR,77.0,195,82.0,26.0,8,10,11,11,6,7,15,16,14,18,11,6,16,14,163,11,3,SG,2.65058375967758,5.05040729268745,7.70099105236503,4.51086762838253,6.70732229600593,11.2181899243885
Leland Katz,206781,41,2044,206781,2044,SG sf ,RS FR,74.0,215,77.25,29.5,2,10,10,8,5,5,8,15,6,9,9,7,13,8,115,13,3,SG,3.98318247087656,3.35099728444337,7.33417975531993,6.73230967995122,4.47769636518971,11.2100060451409
Derrick Bowman,209560,196,2046,209560,2046,PF SF sg ,SR,76.5,200,76.0,34.5,15,10,13,10,6,9,7,17,7,7,13,15,17,11,157,11,2,PF,4.4396926968913,2.7491074676777,7.188800164569,7.4933122267178,3.68801692559314,11.1813291523109
Carl Goforth,212564,859,2046,212564,2046,SF ,JR,75.5,195,80.25,32.5,11,8,12,13,7,6,9,15,14,6,13,6,7,10,137,11,2,SF,4.6715081629622,2.44972425919628,7.12123242215847,7.87974860865798,3.29522615606551,11.1749747647235
Raymond Scott,204511,201,2045,204511,2045,C ,SR,82.5,240,86.0,30.5,9,9,15,10,19,17,9,14,7,8,5,8,8,17,155,11,3,C,2.18727205058463,5.5651845271479,7.75245657773253,3.73852700932458,7.38271002761804,11.1212370369426
Javier Cuellar,207743,493,2045,207743,2045,C pf ,JR,77.5,195,78.25,41.5,9,7,9,7,8,9,9,11,5,4,7,6,9,6,106,11,2,C,3.71964128082981,3.59461642809556,7.31425770892537,6.29298651614329,4.79732468166138,11.0903111978047
Leland Lester,199633,208,2045,199633,2045,PF c ,RS SR,79.0,240,79.0,34.5,13,17,17,15,5,8,13,16,6,17,8,17,9,17,178,12,4,PF,4.2805541543879,2.86306939167367,7.14362354606158,7.22802827636464,3.83753496987586,11.0655632462405
Phil Mundy,201665,114,2046,201665,2046,PF C ,RS SR,79.5,235,85.0,34.5,18,13,13,9,13,14,5,14,8,7,7,9,11,8,149,11,2,PF,2.86280360613302,4.61091718868608,7.47372079481911,4.86463811242375,6.13071127955614,10.9953493919799
Daniel Killian,204664,55,2044,204664,2044,PF c ,RS SO,79.5,215,84.0,39.5,9,12,7,14,12,14,5,15,5,13,14,12,10,8,150,11,3,PF,3.26174493687274,4.0906433527842,7.35238828965693,5.52967331076686,5.44811200685286,10.9777853176197
David Hicks,201696,628,2045,201696,2045,PG SG ,SR,74.0,210,79.0,35.5,3,11,12,12,8,7,12,17,17,13,6,8,10,12,148,11,2,PG,4.0784675994185,3.04489567756091,7.12336327697942,6.89114998923064,4.07609105695992,10.9672410461906
Danny Schmitz,201849,340,2046,201849,2046,PF c ,RS SR,82.5,230,83.25,43.0,11,8,12,12,17,16,5,9,7,12,11,10,14,9,153,11,2,PF,3.89141155456001,3.27789507487025,7.16930662943025,6.57932756245154,4.38178626622976,10.9611138286813
Stu McCormick ,206054,623,2046,206054,2046,SG SF pg ,SR,72.0,175,77.0,32.5,3,10,10,12,6,10,16,14,17,8,7,5,8,6,132,10,1,SG,3.604175969422,3.63514851663749,7.23932448605949,6.10050584202648,4.85050278182839,10.9510086238549
Eugene Ursler,198585,532,2044,198585,2044,PF C ,RS JR,77.5,200,85.0,34.0,7,8,15,12,11,15,6,17,6,14,11,8,13,14,157,11,3,C,3.22551425249521,4.1119471115455,7.33746136404072,5.46927675990952,5.4760625383477,10.9453392982572
Harvey Gorman,201001,388,2044,201001,2044,C ,SR,81.5,245,82.0,34.5,12,7,7,7,12,16,7,19,9,8,5,7,6,7,129,9,1,C,3.61812020060908,3.59205584913279,7.21017604974187,6.12375087541534,4.79396520206223,10.9177160774776
Charlie Stevenson,215866,774,2046,215866,2046,SG PG ,RS SR,72.0,180,74.0,31.0,5,13,17,19,10,8,12,19,11,16,10,9,10,15,174,12,3,SG,3.93248635596639,3.18019816190055,7.11268451786693,6.64779925639597,4.25360791641352,10.9014071728095
J.P. Boston,204936,263,2046,204936,2046,PF SF pg sg ,RS SR,76.5,195,82.0,30.0,6,11,8,12,10,10,13,13,10,12,13,13,15,12,158,11,3,PF,3.65874379904368,3.4988734809578,7.15761728000148,6.19147041400581,4.67170993501664,10.8631803490224
Mark Brower,199878,193,2045,199878,2045,C ,RS SR,81.5,225,87.0,30.0,16,13,5,12,14,8,11,17,12,5,5,16,8,14,156,11,2,C,4.44852961642107,2.48444623334121,6.93297584976228,7.50804337157393,3.34078138614367,10.8488247577176
Jerry Rice,195190,650,2044,195190,2044,PG SG ,RS SR,75.5,180,78.0,30.5,11,17,10,13,6,11,15,15,17,8,13,15,19,17,187,13,3,PG,4.01295163828138,3.00846214008951,7.02141377837089,6.78193488201506,4.02829025579744,10.8102251378125
Stu McCormick ,206054,623,2045,206054,2045,SG SF pg ,JR,72.0,175,77.0,32.5,2,10,9,11,5,8,15,14,16,7,6,8,7,6,124,10,1,SG,3.3292068292059,3.87261765376782,7.20182448297371,5.64213228528623,5.16206228974337,10.8041945750296
Ibrahima Dieng,218318,743,2046,218318,2046,C ,RS SR,83.0,240,85.0,31.5,12,13,15,4,6,14,5,15,10,11,4,18,10,12,149,12,2,C,3.65359681214423,3.45454812589953,7.10814493804375,6.18289038684443,4.61355506918018,10.7964454560246
Rodrigo Medoza ,218146,874,2045,218146,2045,C ,RS JR,81.5,205,83.25,29.0,10,7,9,5,14,18,11,11,8,9,10,8,10,5,135,11,1,C,2.09611197297103,5.39604739259183,7.49215936556285,3.5865631599427,7.16080210708048,10.7473652670232
Larry White,207045,268,2045,207045,2045,PG sg sf ,JR,74.0,190,77.0,31.0,8,9,16,11,9,9,16,17,15,10,17,8,13,12,170,12,4,PG,4.15911025988776,2.77262389114112,6.93173415102887,7.02558130423289,3.71887047317715,10.74445177741
Vince Dial,199678,255,2045,199678,2045,SG pf ,RS SR,79.5,225,85.0,31.5,12,11,19,10,12,7,14,11,18,10,12,10,12,14,172,12,3,SG,2.9548210228507,4.29145093878531,7.24627196163601,5.01803114609212,5.71157155968633,10.7296027057784
Dmitar Bošnjak,216858,613,2046,216858,2046,C ,RS SR,82.0,255,83.0,33.5,14,11,10,6,14,16,3,9,10,7,5,14,6,11,136,10,1,C,4.05207898081762,2.87574204191747,6.92782102273508,6.84716016202297,3.85416148699572,10.7013216490187
Jack Welch,204500,711,2046,204500,2046,PF sf ,RS SR,77.0,235,80.0,30.0,9,13,16,17,9,11,10,7,15,13,5,10,14,14,163,12,3,PF,3.45338975515778,3.62775796905619,7.08114772421397,5.84914522284802,4.84080638340172,10.6899516062497
Hector West,196989,54,2044,196989,2044,SG pg sf ,SR,77.0,225,81.0,32.5,11,15,15,14,7,10,15,13,11,13,18,14,16,7,179,13,5,SG,3.21937178994219,3.91151944284802,7.13089123279021,5.45903727483363,5.2131014370166,10.6721387118502
Joseph Flanagan,208465,217,2046,208465,2046,SG pg ,RS JR,73.0,180,76.0,31.5,6,8,16,6,12,9,11,17,18,7,8,5,15,12,150,11,3,SG,1.94022177195033,5.52043560586169,7.46065737781202,3.3266941948412,7.32399944289053,10.6506936377317
Wyatt Crawford,197177,718,2044,197177,2044,C PF pg ,SR,80.5,220,85.0,29.5,16,15,11,9,13,10,11,12,13,10,13,16,10,13,172,13,4,C,3.79593609042467,3.12039885816739,6.91633494859206,6.42016996373793,4.17515122991562,10.5953211936535
Brad Dyer,209617,482,2046,209617,2046,SG pg ,SR,73.0,190,75.0,32.5,8,6,11,15,7,8,7,16,8,8,15,8,18,11,146,11,2,SG,2.59431179256401,4.63971037914084,7.23402217170484,4.4170622592042,6.16848794543278,10.585550204637
Julius Faulkner +5,209043,990,2045,209043,2045,C ,JR,81.0,240,89.0,27.5,11,4,14,11,13,15,6,12,9,9,10,5,8,13,140,12,2,C,3.75216874545362,3.1667981291188,6.91896687457243,6.34720979967119,4.23602707340387,10.5832368730751
Juan Carlos Portillo,207425,449,2045,207425,2045,C ,JR,83.5,265,87.0,35.5,11,8,3,9,4,12,7,17,5,5,3,13,12,10,119,11,2,C,3.10303275543157,3.98626761848183,7.0893003739134,5.26510010430442,5.31117104344816,10.5762711477526
Jacques Freeman,214459,228,2045,214459,2045,PF C ,SO,80.0,240,84.0,30.5,14,12,4,7,14,10,6,15,9,7,6,12,7,12,135,12,3,PF,3.89374071540144,2.94984796108415,6.84358867648558,6.58321027357419,3.9513884529424,10.5345987265166
James Robinson,204848,880,2045,204848,2045,PF C ,RS JR,81.0,225,85.0,32.0,11,9,8,7,11,14,6,16,6,11,6,10,12,13,140,12,2,PF,4.28792400555289,2.44669468371476,6.73461868926766,7.24031381825668,3.29125135303377,10.5315651712904
Solomon Menard,201973,483,2045,201973,2045,C PF ,SR,80.0,250,84.0,29.0,11,11,14,14,15,8,13,17,8,5,6,12,13,12,159,11,3,C,2.84811086913283,4.25834011867754,7.10645098781037,4.84014531984442,5.66813016370494,10.5082754835494
Damon Larsson,195238,179,2044,195238,2044,SG sf ,RS SR,75.5,195,76.0,28.0,15,18,9,7,13,7,14,7,18,7,18,17,11,14,175,11,3,SG,3.5097333205384,3.40873555538914,6.91846887592754,5.94306994633752,4.55344897667055,10.4965189230081
Wes Hester,210140,997,2046,210140,2046,SG PG ,SR,72.5,175,77.0,30.0,11,11,13,10,8,5,12,13,13,13,11,9,16,7,152,11,3,SG,3.20153002513886,3.79394307271138,6.99547309785024,5.42929505290649,5.05884123939733,10.4881362923038
Luke Rhodes,206261,29,2045,206261,2045,C ,RS SO,83.5,260,91.0,27.0,17,15,8,7,9,14,11,6,5,10,12,17,14,15,160,11,3,C,3.73270050386931,3.11405195517779,6.8467524590471,6.31475624095014,4.16682409319326,10.4815803341434
Marlon Shelton,201619,350,2046,201619,2046,PF C ,RS SR,80.5,245,85.0,39.5,8,11,11,8,9,15,14,15,15,6,8,18,14,8,160,11,3,PF,3.69138446796288,3.15363451433051,6.84501898229339,6.24588240909413,4.21875641080162,10.4646388198957
Kennith Robinson,208909,596,2046,208909,2046,SG PG ,SR,72.0,165,73.0,36.0,7,8,7,7,8,10,15,17,18,6,9,4,16,10,142,10,2,PG,2.80879952790395,4.27140562131354,7.08020514921749,4.77461331401588,5.68527210316337,10.4598854171792
Ned Sorenson,209272,226,2046,209272,2046,PF c ,RS JR,81.5,235,86.25,27.5,9,12,15,8,7,17,9,7,9,10,5,9,11,14,142,11,2,PF,3.46707156688888,3.40692880596707,6.87400037285595,5.87195280300376,4.5510785214288,10.4230313244326
Kelly Hoffman,204471,875,2046,204471,2046,PG SF pf ,RS SR,76.5,185,80.0,31.0,14,16,8,10,6,10,9,14,15,8,14,11,10,7,152,11,3,PG,3.71234895818537,3.0934193447755,6.80576830296087,6.28083021429501,4.13975410834546,10.4205843226405
C&eacutedric Kambala,214462,400,2044,214462,2044,C PF ,SR,84.0,240,87.25,27.5,10,11,8,10,11,15,10,17,7,9,9,12,4,12,145,11,2,C,2.70443387035431,4.36549864350728,7.06993251386159,4.60063576288063,5.80872214828155,10.4093579111622
Herbert Main,201343,602,2046,201343,2046,PG PF sf c ,RS SR,78.0,210,85.25,29.0,15,13,14,8,9,13,14,17,15,13,18,14,11,15,189,13,3,PG,3.21657199617334,3.70139665437318,6.91796865054653,5.45437001862096,4.93742033853762,10.3917903571586
Matt Solomon,210553,836,2046,210553,2046,PF C ,JR,76.0,195,82.0,30.0,14,10,11,16,12,11,11,9,7,12,10,12,12,13,160,12,4,PF,2.7638826167999,4.27069875410303,7.03458137090293,4.69973682320543,5.68434469338318,10.3840815165886
Cornell Buckley,208784,717,2046,208784,2046,C pf ,SR,81.0,240,85.0,30.5,13,6,11,7,16,9,10,11,6,7,11,14,6,9,136,10,2,C,3.67763317179353,3.09564201052478,6.77327518231832,6.22295899837982,4.14267024580852,10.3656292441883
Chris Tucker,210981,557,2046,210981,2046,SG sf ,RS SO,74.0,175,76.0,30.0,7,12,10,12,4,6,10,9,7,7,13,4,13,11,125,12,2,SG,2.83830488137572,4.14641764225708,6.9847225236328,4.82379873825332,5.52128787464129,10.3450866128946
Juan Carlos Portillo,207425,449,2044,207425,2044,C ,SO,83.5,265,87.0,35.5,9,7,3,8,3,9,6,16,5,4,2,10,11,8,101,11,2,C,1.96369433614353,5.25709270251598,7.22078703865951,3.36582295935126,6.97849355370097,10.3443165130522
Victor Munoz,209269,224,2046,209269,2046,PF c ,SR,77.5,195,78.0,30.5,10,8,11,15,10,12,5,9,14,11,11,12,5,11,144,11,2,PF,4.559382821562,1.95602370682226,6.51540652838426,7.69283566454385,2.64749103135081,10.3403266958947
Oliver Lawson,206088,130,2046,206088,2046,C pf ,SR,81.0,225,87.0,31.0,17,12,12,10,14,5,7,12,11,11,7,19,8,5,150,11,2,C,4.3728851774607,2.1877414048577,6.56062658231839,7.38194409182698,2.9515046511733,10.3334487430003
