,height,weight,wingspan,vertical,IS,OS,Rng,Fin,Reb,IDef,PDef,IQ,Pass,Hnd,Drv,Str,Spd,Sta,POT,PTS,FG_M,FG_A,eFG_P,_3P_M,_3P_A,_3P_P,_2P_M,_2P_A,_2P_P,FT_M,FT_A,FT_P,Off,Def,Rebs,AST,STL,BLK,TO,PF,PLUS,DIST,PITP,FBP,FD,F_M,F_A,F_P,IS_M,IS_A,IS_P,MR_M,MR_A,MR_P,Poss,O_Poss,O_PTS,O_FG_M,O_FG_A,O_eFG_P,O_3P_M,O_3P_A,O_3P_P,O_2P_M,O_2P_A,O_2P_P,O_F_M,O_F_A,O_F_P,O_IS_M,O_IS_A,O_IS_P,O_MR_M,O_MR_A,O_MR_P,OBPM,DBPM,BPM,TS,_3PAr,FTr,ORB_P,DRB_P,TRB_P,AST_P,STL_P,BLK_P,TO_P,USG_P
26,75.5,210,79.0,29.0,6,5,18,11,10,12,14,12,18,5,15,5,10,12,12,8.777,3.157,7.444,0.52,1.423,3.557,0.4,1.735,3.89,0.446,1.044,1.71,0.611,1.711,2.978,4.689,1.691,1.689,0.155,1.69,1.821,9.845,12.635,2.488,0.935,1.465,0.267,0.4,0.667,0.979,2.022,0.484,0.488,1.466,0.333,52.944,52.878,6.134,2.488,6.713,0.457,1.155,3.355,0.344,1.334,3.355,0.398,0.134,0.223,0.601,0.489,0.957,0.511,0.711,2.177,0.327,0.0,1.0,1.1,0.535,0.478,0.23,6.9,12.9,9.8,9.1,3.2,0.6,17.1,16.5
27,82.5,220,82.0,27.0,13,11,15,6,12,12,7,10,7,5,10,13,15,6,10,14.85,5.825,10.599,0.565,0.325,0.951,0.342,5.499,9.649,0.57,2.872,4.15,0.692,2.201,6.724,8.925,0.275,1.45,1.125,1.125,2.975,5.725,5.294,10.097,0.098,3.451,0.15,0.199,0.754,4.901,8.525,0.575,0.449,0.924,0.486,55.652,55.333,8.848,4.35,8.375,0.528,0.149,0.399,0.373,4.202,7.978,0.527,0.2,0.449,0.445,3.775,7.049,0.536,0.223,0.476,0.468,2.0,0.5,2.5,0.598,0.09,0.392,8.4,27.3,17.6,1.7,2.6,4.0,8.3,21.8
28,80.5,210,85.25,37.5,9,7,7,5,13,13,9,13,6,12,6,7,8,7,11,6.099,2.46,5.514,0.466,0.22,0.828,0.266,2.245,4.682,0.479,0.952,1.463,0.651,1.145,3.417,4.562,0.147,0.244,0.928,0.682,1.024,-2.612,6.784,4.0,0.146,1.463,0.047,0.074,0.635,1.927,3.95,0.488,0.244,0.66,0.37,32.561,32.455,6.146,2.975,6.245,0.492,0.195,0.582,0.335,2.781,5.658,0.492,0.315,0.488,0.645,2.294,4.805,0.477,0.171,0.366,0.467,-0.6,-0.5,-1.1,0.495,0.15,0.265,6.8,22.1,14.1,1.5,0.7,5.0,10.0,18.5
29,76.0,195,80.0,30.0,7,14,5,16,5,10,8,14,11,15,5,15,11,9,10,10.404,3.62,8.334,0.5,1.095,3.667,0.299,2.525,4.668,0.541,2.073,2.834,0.731,0.714,2.263,2.977,4.738,0.928,0.167,3.26,2.383,6.141,13.299,2.524,2.571,2.239,0.761,1.046,0.728,0.499,0.833,0.599,1.262,2.786,0.453,54.918,54.863,10.785,4.524,10.048,0.537,1.736,4.476,0.388,2.787,5.571,0.5,0.977,1.43,0.683,0.238,0.571,0.417,1.572,3.572,0.44,0.4,-0.1,0.3,0.543,0.44,0.34,2.7,8.7,5.7,26.5,1.7,0.6,25.4,20.7
30,82.0,245,89.0,41.0,15,11,13,8,16,6,9,10,8,7,14,11,6,12,10,9.367,3.633,6.224,0.603,0.246,0.468,0.526,3.389,5.755,0.589,1.857,2.266,0.82,1.0,4.041,5.041,0.328,0.591,0.754,0.818,2.368,10.144,4.132,6.408,0.081,1.939,0.041,0.08,0.512,3.142,5.163,0.609,0.183,0.508,0.36,34.999,35.192,5.856,2.859,5.633,0.52,0.142,0.489,0.29,2.714,5.143,0.528,0.184,0.225,0.818,2.141,4.285,0.5,0.389,0.633,0.615,2.0,0.1,2.1,0.649,0.075,0.364,7.5,26.4,17.6,2.8,1.7,4.1,10.2,21.0
31,78.0,195,79.0,34.0,11,11,15,16,7,13,11,8,14,14,9,10,14,10,12,15.538,5.44,11.828,0.566,2.513,7.098,0.354,2.926,4.732,0.618,2.145,2.805,0.765,0.929,2.584,3.513,1.879,1.049,0.266,1.171,1.463,8.974,14.055,3.512,1.927,2.0,0.56,0.633,0.885,1.194,2.074,0.576,1.171,2.025,0.578,54.576,54.241,7.609,3.147,8.608,0.442,1.318,4.366,0.302,1.829,4.242,0.431,0.267,0.389,0.686,0.438,0.854,0.513,1.123,2.998,0.375,2.7,0.3,3.0,0.595,0.6,0.237,3.7,9.9,6.8,11.6,1.9,0.9,8.2,23.6
32,76.5,225,81.25,27.0,16,16,10,13,10,14,4,17,8,14,6,17,10,5,11,13.83,5.389,10.317,0.539,0.34,0.975,0.349,5.05,9.343,0.541,2.706,3.463,0.781,2.269,5.61,7.879,0.561,0.439,0.488,1.145,2.537,1.39,6.086,8.829,0.05,2.439,0.074,0.121,0.612,4.34,7.978,0.544,0.635,1.244,0.51,51.084,51.19,7.536,3.681,7.536,0.5,0.171,0.683,0.25,3.512,6.856,0.512,0.293,0.659,0.445,2.831,5.414,0.523,0.39,0.78,0.5,2.0,0.4,2.4,0.584,0.095,0.336,8.7,23.7,15.8,4.0,0.9,1.7,8.8,22.5
33,80.5,235,88.0,28.5,13,10,12,12,12,11,9,7,11,8,12,13,8,14,12,17.37,6.827,11.043,0.618,0.0,0.044,0.0,6.827,11.0,0.621,3.715,4.784,0.777,2.262,7.042,9.304,0.609,0.956,1.412,1.219,2.868,17.065,2.346,13.479,0.045,3.587,0.021,0.066,0.318,6.694,10.697,0.626,0.088,0.238,0.37,50.178,49.925,7.304,3.612,7.848,0.466,0.088,0.456,0.193,3.523,7.391,0.477,0.216,0.367,0.589,3.11,6.673,0.466,0.194,0.349,0.556,4.1,2.1,6.2,0.661,0.004,0.433,10.4,30.7,20.9,4.0,1.9,5.9,8.5,25.5
34,77.5,215,81.25,35.5,9,7,17,10,16,10,16,10,15,13,11,7,13,14,13,6.001,2.439,4.732,0.526,0.097,0.318,0.305,2.342,4.416,0.53,1.025,1.732,0.592,1.144,4.419,5.563,2.488,1.195,0.463,1.389,1.317,0.585,7.563,2.779,1.073,1.634,0.366,0.44,0.832,1.023,1.732,0.591,0.952,2.244,0.424,53.887,54.055,6.683,2.783,7.802,0.429,1.121,3.586,0.313,1.659,4.22,0.393,0.219,0.317,0.691,0.512,1.097,0.467,0.926,2.804,0.33,0.4,2.4,2.8,0.546,0.067,0.366,4.8,17.6,11.3,13.7,2.2,1.6,20.2,11.5
35,83.0,210,90.0,29.0,15,10,14,10,12,15,13,14,12,7,10,11,14,16,13,17.002,6.703,11.272,0.596,0.021,0.067,0.313,6.68,11.205,0.596,3.568,4.887,0.73,1.91,7.704,9.614,0.795,1.636,1.75,1.569,2.774,8.955,3.362,12.865,0.091,3.865,0.046,0.046,1.0,6.383,10.544,0.605,0.248,0.613,0.405,61.517,61.883,7.455,3.658,8.614,0.433,0.136,0.364,0.374,3.522,8.25,0.427,0.25,0.614,0.407,3.068,7.204,0.426,0.204,0.433,0.471,2.2,2.3,4.4,0.633,0.006,0.434,7.2,27.9,17.8,4.4,2.6,5.4,10.5,22.1
36,77.5,220,85.25,28.5,13,15,12,11,4,6,14,7,12,7,11,15,13,10,11,8.308,2.858,6.668,0.504,1.002,3.169,0.316,1.857,3.501,0.53,1.596,2.0,0.798,0.334,1.215,1.549,2.05,0.858,0.072,1.525,1.405,-1.143,12.78,2.381,0.977,2.095,0.643,0.904,0.711,0.548,0.833,0.658,0.667,1.762,0.379,43.216,43.11,6.117,2.547,6.165,0.496,1.024,3.334,0.307,1.524,2.834,0.538,0.239,0.31,0.771,0.594,0.836,0.711,0.689,1.691,0.407,-0.3,0.8,0.5,0.55,0.475,0.3,1.7,6.2,4.0,15.2,2.0,0.3,16.8,19.1
37,76.0,205,76.0,32.0,10,9,13,8,8,6,16,10,16,15,7,8,12,7,11,11.425,4.175,8.902,0.556,1.548,4.251,0.364,2.624,4.652,0.564,1.524,2.0,0.762,0.652,2.146,2.798,2.773,0.949,0.098,2.399,2.326,-6.699,12.1,3.451,1.749,1.625,0.774,1.001,0.773,0.949,1.499,0.633,0.898,2.151,0.417,53.24,53.46,7.575,3.226,7.225,0.524,1.124,3.35,0.336,2.099,3.874,0.542,0.35,0.4,0.875,0.724,0.977,0.741,1.025,2.5,0.41,-0.3,1.1,0.8,0.584,0.478,0.225,2.6,9.0,5.7,19.0,1.8,0.3,19.7,20.8
38,72.5,200,76.0,33.0,11,9,11,16,9,7,15,6,6,10,13,9,14,6,10,9.45,3.576,8.575,0.418,0.024,0.298,0.081,3.551,8.275,0.429,2.275,3.5,0.65,0.576,1.699,2.275,1.951,1.074,0.075,2.251,2.325,-4.425,8.471,3.701,1.501,2.748,0.977,1.276,0.766,0.875,2.174,0.402,1.699,4.824,0.352,57.227,57.54,8.55,3.475,8.027,0.533,1.602,4.4,0.364,1.875,3.623,0.518,0.351,0.4,0.877,0.5,0.748,0.668,1.027,2.476,0.415,-2.0,0.5,-1.5,0.467,0.035,0.408,2.2,6.6,4.3,11.3,1.9,0.2,18.2,19.3
39,81.0,210,83.0,33.0,18,8,9,11,15,9,9,8,7,11,6,9,11,12,10,18.5,7.924,12.8,0.619,0.0,0.0,,7.924,12.8,0.619,2.651,4.174,0.635,2.001,7.627,9.628,0.4,1.278,0.849,1.625,3.099,7.7,3.526,15.501,0.051,3.001,0.099,0.099,1.0,7.626,12.151,0.628,0.174,0.551,0.316,57.135,57.321,9.299,4.523,8.674,0.536,0.25,0.702,0.356,4.275,7.974,0.536,0.15,0.327,0.459,3.775,6.851,0.551,0.351,0.8,0.439,2.4,0.9,3.2,0.632,0.0,0.326,7.8,29.7,18.8,2.4,2.2,2.7,10.0,25.6
